TARGET_B,TARGET_D,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,MEDIAN_HOME_VALUE,BIN_MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,BIN_PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,BIN_LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,BIN_FILE_AVG_GIFT,FILE_CARD_GIFT
0,0,101,87,0,3,2,0,1,M,2,0,P,0,554,1,294,76,11855,3,0,0,0,0,1,0,5,1,0.067,15.0,0.0,0.0,1,0,26.0,19,45,297.0,35,8.49,1,15.0,20.0,5.0,15.0,5,12,26,92,8.49,1,7
1,10,137,79,0,1,2,45,1,M,7,0,P,0,334,0,212,72,10385,2,0,41,21,31,1,1,6,2,0.235,15.0,0.25,15.0,4,2,11.0,32,90,368.0,25,14.72,2,20.0,25.0,5.0,17.0,7,21,7,122,14.72,2,12
0,0,113,75,0,3,1,11,1,F,5,0,P,0,2388,3,405,63,30855,9,0,25,26,57,1,1,6,3,0.409,21.67,0.545,22.67,9,6,14.0,44,119,603.0,36,16.75,3,23.0,28.0,5.0,19.0,11,32,6,105,16.75,3,16
0,0,92,83,0,5,2,4,1,F,6,1,B,0,1688,3,153,3,16342,6,0,25,32,42,1,0,5,3,0.474,13.44,0.4,13.5,9,4,11.0,31,96,435.0,37,11.76,2,14.0,17.0,3.0,15.0,11,33,6,92,11.76,2,12
0,0,101,74,0,1,2,49,0,F,2,1,B,8,514,0,328,90,12107,3,0,33,36,37,0,0,5,1,0.1,17.5,0.111,10.0,2,1,18.0,30,83,106.0,12,8.83,1,20.0,25.0,5.0,25.0,6,19,18,92,8.83,1,3
0,0,101,63,0,5,3,8,0,M,3,0,P,0,452,0,182,51,6851,0,0,57,38,34,0,0,5,4,0.2,8.33,0.125,10.0,3,1,19.0,22,59,128.0,22,5.82,0,7.0,10.0,3.0,10.0,9,20,19,91,5.82,0,6
0,0,89,71,0,1,3,50,1,M,5,0,P,0,376,0,122,68,5900,0,0,17,11,51,1,4,5,1,0.16699999999999998,18.67,0.273,18.67,3,3,21.0,29,72,220.0,20,11.0,1,15.0,20.0,5.0,20.0,7,18,21,91,11.0,1,8
1,5,89,79,0,4,2,28,1,F,1,0,P,0,1004,2,189,95,12667,4,3,44,49,50,1,0,5,4,0.4,5.0,0.444,5.0,8,4,12.0,33,89,101.0,20,5.05,0,4.0,7.0,3.0,5.0,9,24,9,91,5.05,0,8
0,0,89,41,0,4,3,30,1,F,4,0,P,0,361,0,180,56,8132,0,2,51,45,45,1,0,5,4,0.409,5.0,0.455,5.0,9,5,17.0,36,91,171.0,34,5.03,0,4.0,7.0,3.0,5.0,11,25,17,91,5.03,0,14
1,16,101,63,0,1,2,43,1,F,4,1,B,0,399,0,307,86,11428,2,1,33,33,29,1,1,6,3,0.35700000000000004,8.6,0.5710000000000001,8.5,5,4,11.0,27,62,150.0,22,6.82,0,8.0,11.0,3.0,8.0,11,27,9,91,6.82,0,13
0,0,113,67,1,1,2,43,0,F,7,0,N,0,119,0,179,41,6519,0,0,43,0,70,1,1,6,4,0.409,8.67,0.364,8.0,9,4,15.0,45,123,273.0,37,7.38,0,7.0,10.0,3.0,10.0,11,35,4,110,7.38,0,14
0,0,113,53,0,1,3,53,0,F,2,1,N,0,168,0,163,79,9042,1,0,33,22,43,0,0,5,1,0.095,80.0,0.182,80.0,2,2,20.0,39,94,516.0,14,36.86,3,80.0,85.0,5.0,85.0,9,21,20,105,36.86,3,6
0,0,89,82,0,1,1,42,0,F,5,0,N,0,770,2,256,80,13841,5,0,32,19,39,1,1,6,4,0.524,3.5,0.7,4.5,11,7,15.0,36,98,100.5,33,3.05,0,14.0,15.0,1.0,2.0,11,27,15,91,3.05,0,16
0,0,101,81,0,1,2,46,0,F,6,0,N,0,655,1,219,77,12671,4,0,46,24,53,0,0,5,1,0.071,21.0,0.0,0.0,1,0,26.0,11,25,103.0,7,14.71,2,16.0,21.0,5.0,21.0,4,10,26,90,14.71,2,2
1,3,137,76,0,1,2,43,0,F,3,1,N,0,475,0,227,70,10221,1,0,30,33,29,1,1,6,2,0.35,10.0,0.5,10.0,7,5,22.0,44,110,186.0,31,6.0,0,9.0,11.0,2.0,10.0,9,22,22,129,6.0,0,14
0,0,125,73,0,3,2,0,0,F,5,0,B,17,706,1,299,76,12426,3,0,0,0,0,1,1,6,2,0.15,8.33,0.111,10.0,3,1,18.0,38,98,201.0,33,6.09,0,8.0,10.0,2.0,10.0,6,15,18,124,6.09,0,10
1,12,77,81,0,1,2,45,0,M,4,1,B,24,530,1,236,81,12208,3,1,34,19,46,1,0,5,4,0.5,9.64,0.455,9.8,11,5,11.0,33,90,270.0,29,9.31,1,10.0,15.0,5.0,15.0,11,29,6,89,9.31,1,7
0,0,65,76,0,3,2,20,0,F,2,1,B,7,813,2,255,48,13079,4,0,47,24,23,1,0,5,1,0.19,16.25,0.182,17.5,4,2,20.0,37,99,277.0,24,11.54,2,20.0,25.0,5.0,15.0,11,27,20,89,11.54,2,4
0,0,125,53,0,3,2,0,0,F,3,0,N,0,910,2,240,53,19388,7,0,0,0,0,1,1,6,4,0.545,10.83,0.364,11.0,12,4,15.0,46,131,670.0,76,8.82,1,17.0,20.0,3.0,11.0,10,28,15,125,8.82,1,23
0,0,101,69,0,3,2,16,1,F,3,1,B,32,663,1,340,68,13347,4,1,25,37,33,1,1,6,2,0.389,11.57,0.33299999999999996,10.67,7,3,12.0,33,96,255.0,26,9.81,1,15.0,20.0,5.0,10.0,8,21,12,92,9.81,1,10
